start,end,epd_data,asi_data,asi
2021-11-17 03:10:31,2021-11-17 03:11:49,True,True,tpas
2021-11-21 06:31:08,2021-11-21 06:31:13,True,True,kian
2021-11-22 07:18:50,2021-11-22 07:19:51,True,True,kian
2021-11-26 01:13:46,2021-11-26 01:14:42,True,True,snkq
2021-11-27 06:44:06,2021-11-27 06:45:25,True,True,kian
2021-11-28 02:50:24,2021-11-28 02:51:42,True,True,tpas
2021-11-29 00:34:11,2021-11-29 00:35:29,True,True,kuuj
2021-11-29 06:48:39,2021-11-29 06:49:58,True,True,kian
2021-12-01 06:53:05,2021-12-01 06:54:24,True,True,kian
2021-12-02 01:25:00,2021-12-02 01:26:18,True,True,kapu
2021-12-02 01:26:55,2021-12-02 01:28:13,True,True,snkq
2021-12-03 02:19:02,2021-12-03 02:20:19,True,True,talo
2021-12-04 06:12:58,2021-12-04 06:14:17,True,True,kian
2021-12-10 00:10:40,2021-12-10 00:11:57,True,True,kuuj
2021-12-18 23:40:57,2021-12-18 23:42:15,True,True,kuuj
2021-12-19 01:11:39,2021-12-19 01:11:51,True,True,kapu
2021-12-19 01:17:02,2021-12-19 01:18:19,True,True,talo
2021-12-19 04:22:40,2021-12-19 04:23:58,True,True,inuv
2021-12-20 00:28:46,2021-12-20 00:30:04,True,True,snkq
2021-12-20 03:36:09,2021-12-20 03:37:27,True,True,fsim
2021-12-20 03:38:22,2021-12-20 03:39:12,True,True,inuv
2021-12-20 23:44:21,2021-12-20 23:45:39,True,True,kuuj
2021-12-24 05:17:48,2021-12-24 05:18:08,True,True,kian
2021-12-24 23:50:31,2021-12-24 23:51:48,True,True,kuuj
2021-12-25 01:23:03,2021-12-25 01:24:21,True,True,gill
2021-12-25 01:26:33,2021-12-25 01:27:51,True,True,talo
2021-12-25 01:26:33,2021-12-25 01:27:51,True,True,talo
2021-12-25 06:04:45,2021-12-25 06:05:39,True,True,kian
2021-12-26 00:36:05,2021-12-26 00:37:23,True,True,kapu
2021-12-26 00:38:00,2021-12-26 00:39:17,True,True,snkq
2021-12-26 00:41:34,2021-12-26 00:42:46,True,True,talo
2021-12-26 23:53:18,2021-12-26 23:54:13,True,True,kuuj
2021-12-27 01:25:49,2021-12-27 01:27:07,True,True,gill
2021-12-27 01:29:20,2021-12-27 01:30:20,True,True,talo
2021-12-27 01:29:20,2021-12-27 01:30:20,True,True,talo
2021-12-28 05:22:21,2021-12-28 05:23:40,True,True,kian
2021-12-31 01:30:11,2021-12-31 01:31:29,True,True,tpas
2021-12-31 01:30:49,2021-12-31 01:31:43,True,True,gill
2021-12-31 04:38:18,2021-12-31 04:39:37,True,True,gako
2021-12-31 23:12:57,2021-12-31 23:14:15,True,True,kuuj
2022-01-01 00:49:00,2022-01-01 00:50:17,True,True,talo
2022-01-01 00:49:00,2022-01-01 00:50:17,True,True,talo
2022-01-01 13:24:42,2022-01-01 13:24:44,True,True,talo
2022-01-01 18:03:07,2022-01-01 18:04:26,True,True,kian
2022-01-02 01:32:26,2022-01-02 01:33:44,True,True,tpas
2022-01-02 04:40:33,2022-01-02 04:41:52,True,True,gako
2022-01-02 23:15:09,2022-01-02 23:16:27,True,True,kuuj
2022-01-03 00:48:41,2022-01-03 00:48:59,True,True,gill
2022-01-03 05:29:19,2022-01-03 05:30:38,True,True,kian
2022-01-03 05:29:19,2022-01-03 05:30:38,True,True,kian
2022-01-03 18:05:16,2022-01-03 18:06:35,True,True,kian
2022-01-04 00:02:17,2022-01-04 00:03:35,True,True,snkq
2022-01-04 23:17:14,2022-01-04 23:18:32,True,True,kuuj
2022-01-06 00:02:22,2022-01-06 00:03:41,True,True,kapu
2022-01-06 00:04:18,2022-01-06 00:05:35,True,True,snkq
2022-01-06 23:19:12,2022-01-06 23:20:30,True,True,kuuj
2022-01-07 16:35:53,2022-01-07 16:37:13,True,True,inuv
2022-01-07 16:38:43,2022-01-07 16:38:48,True,True,gako
2022-01-07 18:09:15,2022-01-07 18:10:34,True,True,kian
2022-01-08 04:47:58,2022-01-08 04:49:08,True,True,kian
2022-01-08 23:21:06,2022-01-08 23:22:24,True,True,kuuj
2022-01-09 00:53:36,2022-01-09 00:54:54,True,True,gill
2022-01-09 00:57:07,2022-01-09 00:58:25,True,True,talo
2022-01-09 00:57:07,2022-01-09 00:58:25,True,True,talo
2022-01-09 05:35:13,2022-01-09 05:35:22,True,True,kian
2022-01-09 05:35:13,2022-01-09 05:35:22,True,True,kian
