"Start Time (UTC)","End Time (UTC)","Duration (min)","Min (km)","Max (km)","Conjunction Type","Conjunction Between"
"2020-01-11  07:07","2020-01-11  07:08","2","204","221","nbtrace","THEMIS-ASI INUV and ELFIN-A"
"2020-01-11  07:08","2020-01-11  07:09","2","428","462","nbtrace","REGO SACH and ELFIN-A"
"2020-01-11  07:29","2020-01-11  07:30","2","337","482","nbtrace","THEMIS-ASI GAKO and ELFIN-B"
"2020-01-11  07:30","2020-01-11  07:31","2","345","369","nbtrace","THEMIS-ASI INUV and ELFIN-B"
"2020-01-11  08:40","2020-01-11  08:41","2","156","338","nbtrace","THEMIS-ASI KIAN and ELFIN-A"
"2020-01-11  09:03","2020-01-11  09:04","2","176","344","nbtrace","THEMIS-ASI KIAN and ELFIN-B"
"2020-01-12  03:21","2020-01-12  03:22","2","206","340","nbtrace","THEMIS-ASI SNKQ and ELFIN-A"
"2020-01-12  03:25","2020-01-12  03:25","1","472","472","nbtrace","THEMIS-ASI TALO and ELFIN-A"
"2020-01-12  03:25","2020-01-12  03:25","1","472","472","nbtrace","REGO TALO and ELFIN-A"
"2020-01-12  03:26","2020-01-12  03:27","2","331","403","nbtrace","REGO RESU and ELFIN-A"
"2020-01-12  03:42","2020-01-12  03:43","2","218","236","nbtrace","THEMIS-ASI KAPU and ELFIN-B"
"2020-01-12  03:44","2020-01-12  03:45","2","255","327","nbtrace","THEMIS-ASI SNKQ and ELFIN-B"
"2020-01-12  03:46","2020-01-12  03:47","2","412","481","nbtrace","THEMIS-ASI RANK and ELFIN-B"
"2020-01-12  03:46","2020-01-12  03:47","2","412","481","nbtrace","REGO RANK and ELFIN-B"
"2020-01-12  03:48","2020-01-12  03:49","2","251","463","nbtrace","THEMIS-ASI TALO and ELFIN-B"
"2020-01-12  03:48","2020-01-12  03:49","2","251","463","nbtrace","REGO TALO and ELFIN-B"
"2020-01-12  03:49","2020-01-12  03:50","2","217","279","nbtrace","REGO RESU and ELFIN-B"
"2020-01-12  04:52","2020-01-12  04:54","3","163","478","nbtrace","THEMIS-ASI PINA and ELFIN-A"
"2020-01-12  04:52","2020-01-12  04:54","3","163","478","nbtrace","TREx RGB PINA and ELFIN-A"
"2020-01-12  04:54","2020-01-12  04:55","2","315","419","nbtrace","THEMIS-ASI GILL and ELFIN-A"
"2020-01-12  04:54","2020-01-12  04:55","2","156","359","nbtrace","THEMIS-ASI TPAS and ELFIN-A"
"2020-01-12  04:54","2020-01-12  04:55","2","315","419","nbtrace","REGO GILL and ELFIN-A"
"2020-01-12  04:54","2020-01-12  04:55","2","315","419","nbtrace","TREx NIR GILL and ELFIN-A"
"2020-01-12  04:54","2020-01-12  04:55","2","315","419","nbtrace","TREx RGB GILL and ELFIN-A"
"2020-01-12  04:55","2020-01-12  04:56","2","270","338","nbtrace","TREx Spectrograph RABB and ELFIN-A"
"2020-01-12  04:55","2020-01-12  04:56","2","270","338","nbtrace","TREx RGB RABB and ELFIN-A"
"2020-01-12  04:56","2020-01-12  04:56","1","497","497","nbtrace","THEMIS-ASI RANK and ELFIN-A"
"2020-01-12  04:56","2020-01-12  04:56","1","497","497","nbtrace","REGO RANK and ELFIN-A"
"2020-01-12  04:58","2020-01-12  04:58","1","414","414","nbtrace","THEMIS-ASI TALO and ELFIN-A"
"2020-01-12  04:58","2020-01-12  04:58","1","414","414","nbtrace","REGO TALO and ELFIN-A"
"2020-01-12  04:59","2020-01-12  05:00","2","391","448","nbtrace","REGO RESU and ELFIN-A"
"2020-01-12  05:16","2020-01-12  05:17","2","248","336","nbtrace","REGO LUCK and ELFIN-B"
"2020-01-12  05:16","2020-01-12  05:17","2","248","336","nbtrace","TREx Spectrograph LUCK and ELFIN-B"
"2020-01-12  05:16","2020-01-12  05:17","2","248","336","nbtrace","TREx RGB LUCK and ELFIN-B"
"2020-01-12  05:17","2020-01-12  05:18","2","286","394","nbtrace","THEMIS-ASI TPAS and ELFIN-B"
"2020-01-12  05:18","2020-01-12  05:19","2","231","262","nbtrace","TREx Spectrograph RABB and ELFIN-B"
"2020-01-12  05:18","2020-01-12  05:19","2","231","262","nbtrace","TREx RGB RABB and ELFIN-B"
"2020-01-12  05:19","2020-01-12  05:20","2","303","477","nbtrace","TREx RGB FSMI and ELFIN-B"
"2020-01-12  05:23","2020-01-12  05:23","1","494","494","nbtrace","REGO SACH and ELFIN-B"
"2020-01-12  06:29","2020-01-12  06:30","2","170","351","nbtrace","THEMIS-ASI FSIM and ELFIN-A"
"2020-01-12  06:29","2020-01-12  06:30","2","170","351","nbtrace","REGO FSIM and ELFIN-A"
"2020-01-12  06:31","2020-01-12  06:32","2","307","436","nbtrace","THEMIS-ASI INUV and ELFIN-A"
"2020-01-12  06:32","2020-01-12  06:33","2","222","248","nbtrace","REGO SACH and ELFIN-A"
"2020-01-12  06:53","2020-01-12  06:53","1","464","464","nbtrace","THEMIS-ASI FSIM and ELFIN-B"
"2020-01-12  06:53","2020-01-12  06:53","1","464","464","nbtrace","REGO FSIM and ELFIN-B"
"2020-01-12  06:54","2020-01-12  06:56","3","84","489","nbtrace","THEMIS-ASI INUV and ELFIN-B"
"2020-01-12  06:55","2020-01-12  06:56","2","340","428","nbtrace","REGO SACH and ELFIN-B"
"2020-01-12  08:03","2020-01-12  08:04","2","236","239","nbtrace","THEMIS-ASI GAKO and ELFIN-A"
"2020-01-12  08:05","2020-01-12  08:05","1","477","477","nbtrace","THEMIS-ASI KIAN and ELFIN-A"
"2020-01-12  08:27","2020-01-12  08:27","1","458","458","nbtrace","THEMIS-ASI GAKO and ELFIN-B"
"2020-01-12  08:28","2020-01-12  08:29","2","221","432","nbtrace","THEMIS-ASI KIAN and ELFIN-B"
"2020-01-13  02:45","2020-01-13  02:46","2","128","285","nbtrace","THEMIS-ASI KUUJ and ELFIN-A"
"2020-01-13  03:08","2020-01-13  03:09","2","323","421","nbtrace","THEMIS-ASI SNKQ and ELFIN-B"
"2020-01-13  03:09","2020-01-13  03:09","1","366","366","nbtrace","THEMIS-ASI KUUJ and ELFIN-B"
"2020-01-13  03:13","2020-01-13  03:14","2","366","484","nbtrace","REGO RESU and ELFIN-B"
"2020-01-13  04:17","2020-01-13  04:18","2","449","498","nbtrace","THEMIS-ASI PINA and ELFIN-A"
"2020-01-13  04:17","2020-01-13  04:18","2","449","498","nbtrace","TREx RGB PINA and ELFIN-A"
"2020-01-13  04:18","2020-01-13  04:20","3","214","492","nbtrace","THEMIS-ASI GILL and ELFIN-A"
"2020-01-13  04:18","2020-01-13  04:20","3","214","492","nbtrace","REGO GILL and ELFIN-A"
"2020-01-13  04:18","2020-01-13  04:20","3","214","492","nbtrace","TREx NIR GILL and ELFIN-A"
"2020-01-13  04:18","2020-01-13  04:20","3","214","492","nbtrace","TREx RGB GILL and ELFIN-A"
"2020-01-13  04:20","2020-01-13  04:21","2","181","245","nbtrace","THEMIS-ASI RANK and ELFIN-A"
"2020-01-13  04:20","2020-01-13  04:21","2","181","245","nbtrace","REGO RANK and ELFIN-A"
"2020-01-13  04:22","2020-01-13  04:23","2","174","278","nbtrace","THEMIS-ASI TALO and ELFIN-A"
"2020-01-13  04:22","2020-01-13  04:23","2","174","278","nbtrace","REGO TALO and ELFIN-A"
"2020-01-13  04:23","2020-01-13  04:24","2","162","334","nbtrace","REGO RESU and ELFIN-A"
"2020-01-13  04:40","2020-01-13  04:41","2","202","211","nbtrace","THEMIS-ASI PINA and ELFIN-B"
"2020-01-13  04:40","2020-01-13  04:41","2","202","211","nbtrace","TREx RGB PINA and ELFIN-B"
"2020-01-13  04:41","2020-01-13  04:43","3","168","492","nbtrace","THEMIS-ASI GILL and ELFIN-B"
"2020-01-13  04:41","2020-01-13  04:42","2","313","379","nbtrace","THEMIS-ASI TPAS and ELFIN-B"
"2020-01-13  04:41","2020-01-13  04:43","3","168","492","nbtrace","REGO GILL and ELFIN-B"
"2020-01-13  04:41","2020-01-13  04:43","3","168","492","nbtrace","TREx NIR GILL and ELFIN-B"
"2020-01-13  04:41","2020-01-13  04:43","3","168","492","nbtrace","TREx RGB GILL and ELFIN-B"
"2020-01-13  04:42","2020-01-13  04:43","2","352","484","nbtrace","TREx Spectrograph RABB and ELFIN-B"
"2020-01-13  04:42","2020-01-13  04:43","2","352","484","nbtrace","TREx RGB RABB and ELFIN-B"
"2020-01-13  04:43","2020-01-13  04:44","2","357","492","nbtrace","THEMIS-ASI RANK and ELFIN-B"
"2020-01-13  04:43","2020-01-13  04:44","2","357","492","nbtrace","REGO RANK and ELFIN-B"
"2020-01-13  04:45","2020-01-13  04:46","2","351","412","nbtrace","THEMIS-ASI TALO and ELFIN-B"
"2020-01-13  04:45","2020-01-13  04:46","2","351","412","nbtrace","REGO TALO and ELFIN-B"
"2020-01-13  04:47","2020-01-13  04:47","1","296","296","nbtrace","REGO RESU and ELFIN-B"
"2020-01-13  05:51","2020-01-13  05:53","3","22","435","nbtrace","THEMIS-ASI ATHA and ELFIN-A"
"2020-01-13  05:51","2020-01-13  05:51","1","401","401","nbtrace","REGO LUCK and ELFIN-A"
"2020-01-13  05:51","2020-01-13  05:51","1","401","401","nbtrace","TREx Spectrograph LUCK and ELFIN-A"
"2020-01-13  05:51","2020-01-13  05:51","1","401","401","nbtrace","TREx RGB LUCK and ELFIN-A"
"2020-01-13  05:53","2020-01-13  05:54","2","233","315","nbtrace","TREx RGB FSMI and ELFIN-A"
"2020-01-13  05:54","2020-01-13  05:54","1","289","289","nbtrace","THEMIS-ASI FSIM and ELFIN-A"
"2020-01-13  05:54","2020-01-13  05:54","1","289","289","nbtrace","REGO FSIM and ELFIN-A"
"2020-01-13  05:56","2020-01-13  05:57","2","205","357","nbtrace","REGO SACH and ELFIN-A"
"2020-01-13  06:15","2020-01-13  06:15","1","407","407","nbtrace","THEMIS-ASI ATHA and ELFIN-B"
"2020-01-13  06:16","2020-01-13  06:18","3","84","495","nbtrace","THEMIS-ASI FSIM and ELFIN-B"
"2020-01-13  06:16","2020-01-13  06:18","3","84","495","nbtrace","REGO FSIM and ELFIN-B"
"2020-01-13  06:19","2020-01-13  06:20","2","389","500","nbtrace","THEMIS-ASI INUV and ELFIN-B"
"2020-01-13  06:19","2020-01-13  06:21","3","37","443","nbtrace","REGO SACH and ELFIN-B"
"2020-01-13  07:27","2020-01-13  07:28","2","325","442","nbtrace","THEMIS-ASI GAKO and ELFIN-A"
"2020-01-13  07:29","2020-01-13  07:30","2","315","464","nbtrace","THEMIS-ASI INUV and ELFIN-A"
"2020-01-13  07:50","2020-01-13  07:52","3","28","442","nbtrace","THEMIS-ASI GAKO and ELFIN-B"
"2020-01-13  09:02","2020-01-13  09:03","2","221","310","nbtrace","THEMIS-ASI KIAN and ELFIN-A"
"2020-01-13  09:26","2020-01-13  09:26","1","458","458","nbtrace","THEMIS-ASI KIAN and ELFIN-B"
"2020-01-14  02:10","2020-01-14  02:10","1","476","476","nbtrace","THEMIS-ASI KUUJ and ELFIN-A"
"2020-01-14  02:33","2020-01-14  02:34","2","147","350","nbtrace","THEMIS-ASI KUUJ and ELFIN-B"
"2020-01-14  03:40","2020-01-14  03:42","3","68","428","nbtrace","THEMIS-ASI KAPU and ELFIN-A"
"2020-01-14  03:42","2020-01-14  03:43","2","230","429","nbtrace","THEMIS-ASI SNKQ and ELFIN-A"
"2020-01-14  03:45","2020-01-14  03:45","1","377","377","nbtrace","THEMIS-ASI RANK and ELFIN-A"
"2020-01-14  03:45","2020-01-14  03:45","1","377","377","nbtrace","REGO RANK and ELFIN-A"
"2020-01-14  03:46","2020-01-14  03:47","2","295","336","nbtrace","THEMIS-ASI TALO and ELFIN-A"
"2020-01-14  03:46","2020-01-14  03:47","2","295","336","nbtrace","REGO TALO and ELFIN-A"
"2020-01-14  03:47","2020-01-14  03:49","3","123","475","nbtrace","REGO RESU and ELFIN-A"
