Start Time (UTC),End Time (UTC),Duration (min),Min (km),Max (km),Conjunction Type,Conjunction Between,asi_array_and_id,asi_array,asi
2020-09-02 08:12:00,2020-09-02 08:14:00,3,59,456,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-09-03 08:07:00,2020-09-03 08:08:00,2,162,308,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-09-03 08:08:00,2020-09-03 08:10:00,3,115,447,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-09-05 07:53:00,2020-09-05 07:54:00,2,217,428,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-09-05 07:54:00,2020-09-05 07:55:00,2,260,396,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-09-06 07:48:00,2020-09-06 07:49:00,2,349,353,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-09-06 07:50:00,2020-09-06 07:51:00,2,329,472,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-09-08 07:35:00,2020-09-08 07:35:00,1,388,388,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-09-08 07:36:00,2020-09-08 07:37:00,2,480,491,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-09-08 08:06:00,2020-09-08 08:08:00,3,65,422,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-09-08 08:08:00,2020-09-08 08:09:00,2,167,279,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-09-09 07:30:00,2020-09-09 07:30:00,1,490,490,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-09-10 07:53:00,2020-09-10 07:54:00,2,102,320,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-09-10 07:55:00,2020-09-10 07:56:00,2,175,243,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-09-11 07:47:00,2020-09-11 07:49:00,3,125,477,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-09-11 07:49:00,2020-09-11 07:50:00,2,163,342,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-09-15 08:24:00,2020-09-15 08:24:00,1,491,491,nbtrace,TREx RGB FSMI and ELFIN-A,TREx RGB FSMI ,TREx RGB,FSMI
2020-09-15 08:24:00,2020-09-15 08:25:00,2,177,239,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2020-09-16 07:47:00,2020-09-16 07:48:00,2,201,226,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-09-16 07:48:00,2020-09-16 07:50:00,3,95,493,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-09-17 08:42:00,2020-09-17 08:43:00,2,241,299,nbtrace,TREx RGB FSMI and ELFIN-A,TREx RGB FSMI ,TREx RGB,FSMI
2020-09-17 08:42:00,2020-09-17 08:43:00,2,327,494,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2020-09-21 07:17:00,2020-09-21 07:18:00,2,248,337,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-09-21 07:18:00,2020-09-21 07:20:00,3,228,475,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-09-24 06:59:00,2020-09-24 06:59:00,1,388,388,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-09-24 07:00:00,2020-09-24 07:01:00,2,471,487,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-09-26 07:17:00,2020-09-26 07:18:00,2,190,229,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-09-26 07:18:00,2020-09-26 07:20:00,3,52,459,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-09-29 06:58:00,2020-09-29 06:59:00,2,233,370,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-09-29 07:00:00,2020-09-29 07:01:00,2,286,341,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-10-20 06:18:00,2020-10-20 06:19:00,2,203,254,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-10-20 06:19:00,2020-10-20 06:21:00,3,109,461,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-12-07 04:11:00,2020-12-07 04:11:00,1,409,409,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-12-07 04:13:00,2020-12-07 04:13:00,1,491,491,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-12-09 04:26:00,2020-12-09 04:28:00,3,115,491,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-12-09 04:28:00,2020-12-09 04:29:00,2,133,350,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-12-14 04:12:00,2020-12-14 04:13:00,2,202,265,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-12-14 04:13:00,2020-12-14 04:15:00,3,120,458,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-12-17 03:50:00,2020-12-17 03:51:00,2,357,433,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-12-17 03:52:00,2020-12-17 03:53:00,2,401,467,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-12-17 03:58:00,2020-12-17 03:59:00,2,261,474,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-12-17 03:59:00,2020-12-17 04:00:00,2,321,414,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-12-19 04:06:00,2020-12-19 04:08:00,3,71,487,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-12-19 04:08:00,2020-12-19 04:10:00,3,75,487,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-12-19 04:13:00,2020-12-19 04:15:00,3,61,456,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-12-19 04:15:00,2020-12-19 04:16:00,2,192,239,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-12-22 03:45:00,2020-12-22 03:46:00,2,263,390,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-12-22 03:46:00,2020-12-22 03:47:00,2,275,467,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-12-30 03:17:00,2020-12-30 03:17:00,1,396,396,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-12-30 03:19:00,2020-12-30 03:19:00,1,451,451,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-01-06 03:27:00,2021-01-06 03:29:00,3,54,466,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2021-01-06 03:29:00,2021-01-06 03:30:00,2,101,318,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2021-08-17 06:31:00,2021-08-17 06:33:00,3,28,446,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2021-08-17 06:33:00,2021-08-17 06:34:00,2,249,268,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2021-08-17 06:34:00,2021-08-17 06:35:00,2,363,482,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2021-08-17 06:38:00,2021-08-17 06:39:00,2,132,300,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
